LANGUAGE, English, German

STRM_mission_name, "Sahrani-Life:Reloaded 2.07", "Sahrani-Life:Reloaded 2.07"

// MISC
// ############################################################################001
STRS_not_trained_terrorist_for_shop, "You can't enter this shop without being a trained terrorist", "Du kannst diesen Shop nicht benutzen da du kein trainierter terrorist bist"
STRS_hints_vehicle_information, "VEHICLE INFORMATION:\n\nName: %7\nSpeed: %1\nVehicle Health: %2 of 100\nFuel: %3/50Ltr\nType: %4\ndirection: %5°\nHeight ASL: %6m\nDriver: %8\nFree Cargo: %9\nlength: %10m%11", "VEHIKEL INFORMATIONEN:\n\nName: %7\nGeschwindigkeit: %1\nFahrzeug Zustand: %2% von 100\nTreibstoff: %3/50Ltr\nTyp: %4\nRichtung: %5°\nHoehe ueber NN: %6m\nFahrer: %8\nFreie Plaetze: %9\nLaenge: %10m%11"

// INTRO
// ############################################################################002

STRS_anfang_laden, "Loading... \nPlease Wait.", "Laden... \nBitte warten"
STRS_anfang_sponsor, "Server forums located at NSS-gamers.forumatic.com", ""
STRS_anfang_01, "The Sahrani-Life Community\npresent", "Die Sahrani-Life Community (zu finden unter)\npraesentiert"
STRS_anfang_02, "Highlights in this Version:\n\n2.0, "Highlights in dieser Version:\n\n2.0"
STRS_anfang_03, "An RPG-Mission", "Eine RPG-Mission"
STRS_anfang_04, "Sahrani Life: Reloaded\nVersion 2.0", "Sahrani Life: Reloaded\nVersion 2.0"
STRS_anfang_05_civ, "Welcome to Sahrani, citizen!\n\nPlease check the guide (briefing) for all you need to know!", "Willkommen in Sahrani, Buerger!\n\nBitte Checke das briefing um alles zu Erfahren was du wissen musst!"
STRS_anfang_05_cop, "Welcome to duty, officer!\n\nPlease check the guide (briefing) for all you need to know!", "Willkommen bei der Pflicht, Officer!\n\nBitte Checke das briefing um alles zu Erfahren was du wissen musst!"
STRS_anfang_cop_loadout, "You default loadout is a Mossberg 590 Pump-Action Shotgun with non-lethal bean-bags, aswell as a Beretta 92FS.\n\nTo get better Weapons, Equipments and Vehicles, you have to buy the approriate trainings in the base.", "Deine Standard Ausruestung besteht aus einer Mossberg 590 Pump-Action Shotgun mit nicht toedlichen Bohnen-Saeckchen (bean-bag) Munition, sowie einer Beretta 92FS.\n\nUm an bessere Waffen, Ausruestungen und Fahrzeuge zu gelangen, musst du die entsprechended Cop-Trainings in der Basis kaufen."
STRS_anfang_06, "Have fun!\n\nAll functions are explained in the Briefing.\nPlease look it up if there are misunderstandings.\n\nPlease post suggestions and bug-reports in the Forums at www.Arma-RPG.com", "Viel Spass!\n\nSaemtliche Funktionen der Mission sind im Briefing erklaert.\nBitte schau mal darein, wenn es unklarheiten gibt.\n\nVorschlaege und Bugmeldungen bitte im Forum unter www.Arma-RPG.com melden."

STRS_mission_supporter1, "Many new Pistols", "Viele neue Pistolen"
STRS_mission_supporter2, "Sub-Machine-Guns and appropriate license", "Sub-Machine-Guns und passende Lizenz"
STRS_mission_supporter3, "Semi-Auto Assault-Rifles to buy for civs in shops", "Semi-Auto Sturmgewehre fuer civs in shops zu kaufen"
STRS_mission_supporter4, "Many new Assault Rifles and other Weapons for cops and civs", "Viele neue Sturmgewehre und Waffen fuer cops und Civs"
STRS_mission_supporter5, "New Police Base and Police-cars", "Neue Polizei Basis und Polizeiwagen"
